,Poster_Link,Series_Title,Released_Year,Runtime,Genre,IMDB_Rating,Overview,Director,Star1,Star2,Star3,Star4
10,https://cdn.majorcineplex.com/uploads/movie/3603/thumb_3603.jpg,The Marsh King s Daughter,2023.0,109min,Thriller,0.0,"Helena, a woman living a seemingly ordinary life, hides a dark secret: her father is the infamous “Marsh King,” the man who kept her and her mother captive in the wilderness for years. After a lifetime of trying to escape her past, Helena is forced to face her demons when her father unexpectedly escapes from prison.",NEIL BURGER,GARRETT HEDLUND,DAISY RIDLEY,BEN MENDELSOHN,
11,https://cdn.majorcineplex.com/uploads/movie/3888/thumb_3888.jpg,Fallen Leaves,2023.0,81min,"Comedy , Drama",7.6,Two lonely people who meet each other by chance in the Helsinki night and try to find the first love of their lives.,AKI KAURISMÄKI,ALMA PÖYSTI,JUSSI VATANEN,,
12,https://cdn.majorcineplex.com/uploads/movie/3996/thumb_3996.jpg,The Boy and the Heron,2023.0,124min,"Adventure , Animation , Drama , Fantasy",7.6,"While the Second World War rages, the teenage Mahito, haunted by his mother's tragic death, is relocated from Tokyo to the serene rural home of his new stepmother Natsuko, a woman who bears a striking resemblance to the boy's mother. As he tries to adjust, this strange new world grows even stranger following the appearance of a persistent gray heron, who perplexes and bedevils Mahito, dubbing him the ""long-awaited one.""",HAYAO MIYAZAKI,KO SHIBASAKI,MASAKI SUDA,SOMA SANTOKI,AIMYON
13,https://cdn.majorcineplex.com/uploads/movie/3757/thumb_3757.jpg,4 Kings 2,2023.0,0min,"Action , Drama",0.0,การปะทะของ 2 อริต่างสถาบัน กนก และ บูรณพนธ์ เริ่มต้นขึ้นในค่ำคืนหนึ่ง “ตุ้มเม้ง กนก” (ท็อป-ทศพล) ถูกดักทำร้ายร่างกายจนปางตาย “บ่าง กนก” (แหลม-สมพล) เตรียมการหวังแก้แค้น “เอก บูรณพนธ์” (ทู-สิราษฎร์) และ “รก บูรณพนธ์” (จี๋-สุทธิรักษ์) แต่เรื่องราวกลับไม่เป็นอย่างที่คิด บ่าง ตกอยู่ในสถานการณ์ที่นั่งลำบาก ทำให้ บุ้ง (ทราย เจริญปุระ) พี่สาวของบ่าง พยายามทุกวิถีทางเพื่อช่วยน้องชายของเธอ,PUTTIPONG NAKTHONG,INTIRA CHAROENPURA,SOMPHOL RUNGPHANIT,SUTTHIRAK SUBVIJITRA,SIRAT INTARACHOTE
14,https://cdn.majorcineplex.com/uploads/movie/3918/bg_3918.png,Slyth The Hunt Saga,2023.0,0min,"Action , Romance",0.0,เรื่องราวลึกลับของ เนม ชายหนุ่มปริศนาที่มีอาการความจำเสื่อม เพราะถูกรถตู้ของ ซี และเพื่อนๆ ของเธอ เอส นิกกี้ เฟรม เสียหลักพุ่งเข้าชนอย่างจัง ทุกคนต่างอยู่ในสภาพช็อก จึงรีบพาชายหนุ่มปริศนาผู้นี้กลับมาพักรักษาตัวที่บ้านของซี ด้วยความใกล้ชิด ของทั้งคู่ ซีก็ได้สังเกตว่าบาดแผลตามร่างกายของเนมหายเป็นปกติในเวลาอันรวดเร็ว มิหนำซ้ำยังแข็งแกร่งกว่าคนทั่วไป ซีสงสัยว่า เนมอาจไม่ใช่มนุษย์ หรือว่าเขาอาจเป็น SLYTH ซึ่งมันตรงกับตำนานที่ว่าใครได้รับเลือดของ SLYTH ก็จะช่วยรักษาโรคร้าย ยื้อได้แม้ กระทั่งความตาย และเป็นอมตะ ข่าวลือที่ว่า SLYTH ได้ปรากฏตัวบนโลกก็แพร่สะพัด จึงทำให้เนมตกเป็นเป้าหมายจากการตามล่า ยิ่งเนมฟื้นความทรงจำได้มากเท่าไหร่ ภารกิจการไล่ล่า SLYTH ยิ่งเพิ่มความอันตรายให้ทั้งซีและเนมมากขึ้น สงครามแห่งการไล่ล่า กำลังจะอุบัติ หรือ ความรักจะอยู่เหนือปรากฏการณ์หายนะครั้งนี้?! เต,PANCHAPONG KONGKANOI,ISHIKAWA PLOWDEN,MOOKDA NARINRAK,PEEMAPOL PANICHTAMRONG,SUPAKCHAYA SUKBAIYEN
15,https://cdn.majorcineplex.com/uploads/movie/3940/thumb_3940.jpg,Supposed,2023.0,0min,Thai,0.0,เตรียมสัมผัสความสัมพันธ์สุดเหงาในเมืองใหญ่ของหนุ่มสาวยุคโซเชียลที่มีเส้นบางๆ คั่นกลางระหว่าง “ความจริง” กับ “เรื่องสมมติ” ในภาพยนตร์โรแมนติกดราม่าเรื่อง “สมมติ” (Supposed) งานกำกับชิ้นสุดท้ายของ “ธนกร พงษ์สุวรรณ” ผู้กำกับมากฝีมือที่เคยฝากผลงานภาพยนตร์ไทยคุณภาพน่าจับตาและสร้างสีสันประดับวงการไว้หลากเรื่องหลายแนว กับการถ่ายทอดเรื่องราวในมุมมองแปลกใหม่ บันทึกภาพสวยแปลกตาของกรุงเทพฯ รวมทั้งสะท้อนชีวิตของผู้คนในเมืองศิวิไลซ์แห่งนี้ผ่านโมเมนต์เหงาเอาเรื่องได้อย่างมีเสน่ห์และสไตล์เฉพาะตัว,THANAKORN PONGSUWAN,ANANDA EVERINGHAM,CHAYANIT CHANSANGAVEJ,,
16,https://cdn.majorcineplex.com/uploads/movie/3538/thumb_3538.jpg?1234,Trolls Band Together,2023.0,0min,Animation,0.0,"When Branch’s brother, Floyd, is kidnapped for his musical talents by a pair of nefarious pop-star villains, Branch and Poppy embark on a harrowing and emotional journey to reunite the other brothers and rescue Floyd from a fate even worse than pop-culture obscurity.","TIM HEITZ,WALT DOHRN",JUSTIN TIMBERLAKE,ANNA KENDRICK,AMY SCHUMER,CAMILA CABELLO
17,https://cdn.majorcineplex.com/uploads/movie/3805/thumb_3805.jpg,Thanksgiving,2023.0,107min,"Horror , Thriller",0.0,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts – the birthplace of the infamous holiday.",ELI ROTH,ADDISON RAE,MILO MANHEIM,PATRICK DEMPSEY,KAREN CLICHÉ
18,https://cdn.majorcineplex.com/uploads/movie/3517/bg_3517.png,Wonka,2023.0,0min,"Adventure , Comedy , Fantasy , Musical",0.0,"Based on the extraordinary character at the center of Charlie and the Chocolate Factory, Roald Dahl’s most iconic children’s book and one of the best-selling children’s books of all time, “Wonka” tells the wondrous story of how the world’s greatest inventor, magician and chocolate-maker became the beloved Willy Wonka we know today.",PAUL KING,HUGH GRANT,TIMOTHÉE CHALAMET,OLIVIA COLMAN,SALLY HAWKINS
19,https://cdn.majorcineplex.com/uploads/movie/3853/thumb_3853.jpg,The Three Musketeers Milady,2023.0,0min,The Three Musketeers Milady,0.0,"D'Artagnan is forced to join forces with Milady to save Constance, who was kidnapped before his eyes. But as war is declared and Athos, Porthos and Aramis have already joined the front, a secret from the past shatters old alliances.",MARTIN BOURBOULON,EVA GREEN,VINCENT CASSEL,PIO MARMAÏ,FRANÇOIS CIVIL
